rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
69,B005LZTSTI,Diadermine - 6 Cleansing Facial Strips - Anti Blackheads/Impurities - Normal to Combination Skin - Sebum Regulating Active -,4.2,1732,3.52,USD,USD 3.52,,https://www.amazon.com/-/en/Diadermine-Blackheads-Impurities-Combination-Regulating/dp/B005LZTSTI/ref=zg_bs_g_211020031_d_sccl_19/262-8685258-6348528
70,B0G6K6FV2Q,"Dr. Scholl's Electric Foot File Instantly Removes Calluses and Dead Skin for Softer, Smoother Feet in Seconds Ideal for Trave",4.5,478,12.08,USD,USD 12.08,,https://www.amazon.com/-/en/Dr-Scholls-Instantly-Traveling-Batteries/dp/B0G6K6FV2Q/ref=zg_bs_g_211020031_d_sccl_20/262-8685258-6348528
71,B0FX418XT8,"Arencia Vitamin C Booster Serum with Glutathione, Niacinamide and Vitamin E for Radiant Skin 30ml",4.3,3115,16.42,USD,USD 16.42,,https://www.amazon.com/-/en/Arencia-Vitamin-Booster-Glutathione-Niacinamide/dp/B0FX418XT8/ref=zg_bs_g_211020031_d_sccl_21/262-8685258-6348528
72,B0D1G7XF9X,"medicube Zero Pore Mask Clay Blackheads Pore Care | AHA BHA PHA Clay Mask, Pore Care, Blackheads, Fresh Effect, Quick Dry 3 M",4.4,6744,26.63,USD,USD 26.63,,https://www.amazon.com/-/en/medicube-Zero-Pore-Mask-Blackheads/dp/B0D1G7XF9X/ref=zg_bs_g_211020031_d_sccl_22/262-8685258-6348528
73,B081QH4M68,"Mixa Cica Intensive Repair Hand Cream Daily Protection | Tested exposed professions, Proven efficacy, 1st Mixa protective for",4.6,2530,2.54,USD,USD 2.54,,https://www.amazon.com/-/en/Mixa-Intensive-Repair-Cream-Protection/dp/B081QH4M68/ref=zg_bs_g_211020031_d_sccl_23/262-8685258-6348528
74,B0CDHCWD7M,"Garnier Salicylic Purifying Anti-Blemish Cleansing Gel 200 ml | Niacinamide, Salicylic Acid, Clay, Ceramide, Removes Impuriti",4.5,1065,4.25,USD,USD 4.25,,https://www.amazon.com/-/en/Garnier-Salicylic-Purifying-Anti-Blemish-Cleansing/dp/B0CDHCWD7M/ref=zg_bs_g_211020031_d_sccl_24/262-8685258-6348528
75,B0BRXR2ZJJ,Erborian,4.6,1831,18.25,USD,USD 18.25,,https://www.amazon.com/-/en/Erborian-5-1-Ginseng-Perfecting/dp/B0BRXR2ZJJ/ref=zg_bs_g_211020031_d_sccl_25/262-8685258-6348528
76,B0CNQ11ZYH,"Garnier SkinActive - Fluide Anti-UV & Anti-Taches Quotidien - Glow - SPF 50+ - Protège, Réduit les Taches & Booste l'Éclat -",4.4,7033,10.11,USD,USD 10.11,,https://www.amazon.com/-/en/Garnier-SkinActive-Anti-Taches-Quotidien-Vitamine/dp/B0CNQ11ZYH/ref=zg_bs_g_211020031_d_sccl_26/262-8685258-6348528
77,B0FVG12N9N,"Garnier Cream Sorbet Vitamin C Moisturizing Booster Radiance Face 85 ml | 4% Vitamin C and Niacinamide, Reduces dark spots, F",4.4,580,5.46,USD,USD 5.46,,https://www.amazon.com/Garnier-Vitamin-Moisturizing-Booster-Radiance/dp/B0FVG12N9N/ref=zg_bs_g_211020031_d_sccl_27/262-8685258-6348528
78,B07C5T3DKW,"CeraVe - Eye Contour Repair Cream, Hydrating Formula, Anti-Puffiness, Hyaluronic Acid and Ceramides, 24h Hydration, Dry Eye C",4.2,45478,16.67,USD,USD 16.67,,https://www.amazon.com/-/en/CeraVe-Hydrating-Anti-Puffiness-Hyaluronic-Ceramides/dp/B07C5T3DKW/ref=zg_bs_g_211020031_d_sccl_28/262-8685258-6348528
79,B07N74F8NP,"The Ordinary Natural Hydration Factors + Hyaluronic Acid, Lightweight Moisturizer to Protect Skin Barrier and Hydration, 100",4.5,14186,15.2,USD,USD 15.20,,https://www.amazon.com/-/en/Ordinary-Hydration-Hyaluronic-Lightweight-Moisturizer/dp/B07N74F8NP/ref=zg_bs_g_211020031_d_sccl_29/262-8685258-6348528
80,B09DZ2SDTN,"L'Oreal Paris Age Perfect Midnight Firming Anti-Wrinkle Serum Shine 1 fl oz | Protective Antioxidant Complex, Night Regenerat",4.4,2164,11.82,USD,USD 11.82,,https://www.amazon.com/-/en/LOreal-Paris-Perfect-Midnight-Anti-Wrinkle/dp/B09DZ2SDTN/ref=zg_bs_g_211020031_d_sccl_30/262-8685258-6348528
81,B0GHPF82QQ,,,,,,,,
82,B0DDXV5KV4,,,,,,,,
83,B0052EBB16,,,,,,,,
84,B01N1L8RU0,,,,,,,,
85,B0GHMZXX8Y,,,,,,,,
86,B0BVRVVZ22,,,,,,,,
87,B085VS2J3T,,,,,,,,
88,B0FH3C4QTL,,,,,,,,
89,B08TTP8589,,,,,,,,
90,B01H76BO9U,,,,,,,,
91,B085VWWJJT,,,,,,,,
92,B0052EB9TK,,,,,,,,
93,B0D4Y6MNTF,,,,,,,,
94,B08CL5F5BD,,,,,,,,
95,B00G3ICSTY,,,,,,,,
96,B0GY8WCFSL,,,,,,,,
97,B0BZ88S3GZ,,,,,,,,
98,B07YQF8GB3,,,,,,,,
99,B00E4KYCF6,,,,,,,,
100,B0779YGB2G,,,,,,,,
