rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
70,B0DK9YWKBF,"by Amazon Face Cleansing Wipes with Aloe Vera, Make-up remover, Fragrance Free, 25 Wipes",4.4,1124,1.56,USD,USD 1.56,,https://www.amazon.com/Amazon-Cleansing-Make-up-remover-Fragrance/dp/B0DK9YWKBF/ref=zg_bs_g_118464031_d_sccl_20/261-1284036-7150461
71,B0DWFLY18Y,"Anua PDRN Hyaluronic Acid 100 Moisturizing Cream, 60ml | Lightweight, Non-Greasy Hydrating Face Moisturizer with Salmon DNA f",4.7,5099,22.76,USD,USD 22.76,,https://www.amazon.com/ANUA-Hyaluronic-Moisturizing-Lightweight-Moisturizer/dp/B0DWFLY18Y/ref=zg_bs_g_118464031_d_sccl_21/261-1284036-7150461
72,B0CZ9RC54D,"The INKEY List Glycolic Acid Exfoliating Body Stick 45g | 7% Glycolic Acid and Salicylic Acid Exfoliator, Targets Ingrown Hai",4.3,2404,15.24,USD,USD 15.24,,https://www.amazon.com/INKEY-List-Glycolic-Exfoliating-Stick/dp/B0CZ9RC54D/ref=zg_bs_g_118464031_d_sccl_22/261-1284036-7150461
73,B0DK4Y2YP3,"celimax The Vita A Retinal Shot Tightening Booster, 15ml | 0.1% Retinal, 3% Matryxyl, High-Strength Retinoid, Anti Aging, Por",4.3,23471,17.83,USD,USD 17.83,,https://www.amazon.com/celimax-Tightening-High-Strength-Anti-Aging-Minimizer/dp/B0DK4Y2YP3/ref=zg_bs_g_118464031_d_sccl_23/261-1284036-7150461
74,B07W8H2X23,"CeraVe SA Smoothing Cleanser for Dry, Rough and Bumpy Skin, 236ml | Exfoliating cleanser developed by Dermatologists with Sal",4.6,17683,14.74,USD,USD 14.74,,https://www.amazon.com/CeraVe-SA-Smoothing-Cleanser-236ml/dp/B07W8H2X23/ref=zg_bs_g_118464031_d_sccl_24/261-1284036-7150461
75,B0CNQ11ZYH,"Garnier Vitamin C* Daily UV Brightening Fluid Sheer Glow, SPF50+, 40ml | Prevents and Corrects Sun Damage, Evens Skin Tone, F",4.5,6996,10.55,USD,USD 10.55,,https://www.amazon.com/Garnier-Brightening-Prevents-Corrects-Cruelty-Free/dp/B0CNQ11ZYH/ref=zg_bs_g_118464031_d_sccl_25/261-1284036-7150461
76,B00KSS3MJ0,"St.Tropez Self Tan Express Mousse, Fast Acting Fake Tan, Develops in 1-3 Hours, Streak-Free Finish, Vegan, Natural & Cruelty",4.5,15627,17.6,USD,USD 17.60,,https://www.amazon.com/St-Tropez-Express-Bronzing-Mousse-200ml/dp/B00KSS3MJ0/ref=zg_bs_g_118464031_d_sccl_26/261-1284036-7150461
77,B09N9ZV34Z,"The INKEY List Caffeine Eye Cream 15ml | Lightweight Under-Eye Care with Matrixyl 3000 to Reduce Puffiness, Dark Circles and",4.2,3701,8.13,USD,USD 8.13,,https://www.amazon.com/INKEY-List-Caffeine-Cream-Circles/dp/B09N9ZV34Z/ref=zg_bs_g_118464031_d_sccl_27/261-1284036-7150461
78,B0F99FX3BR,"TKTK 443 Count Pimple Patches for Face, Hydrocolloid Spot Stickers, 5 Sizes | Clear Spot Patch for Cheeks, Forehead, Chin Ble",4.4,594,10.82,USD,USD 10.82,,https://www.amazon.com/TKTK-Hydrocolloid-Blemishes-Breakouts-Contoured/dp/B0F99FX3BR/ref=zg_bs_g_118464031_d_sccl_28/261-1284036-7150461
79,B0FPCC599C,"medicube Body Peel Shot with Hypochlorous Acid | Gentle Body Exfoliating for Dead Skin Cells & Uneven Texture - Rice Extract,",4.3,1933,24.25,USD,USD 24.25,,https://www.amazon.com/medicube-Body-Peel-Shot-Hypochlorous/dp/B0FPCC599C/ref=zg_bs_g_118464031_d_sccl_29/261-1284036-7150461
